Current Position Requirments,Current Position,Alternative 1,Alternative 2
"Bachelor's degree in Computer Sciences or a related field; Over 3 years of web applications development;  Experience in designing and delivering complex web applications using PHP; Experience in XML, XLS, HTML, DHTML, CSS and JavaScript; Experience in PHP and MySQL; Strong understanding of OO programming concept; Experience in administering Linux, Apache, MySQL is a plus; Knowledge of AJAX is a plus; Knowledge of Typo3, Drupal and other open source CMSs is a plus; Good knowledge of English language is desired; writing English skills are obligatory.",Software Engineer,PHP Developer,Web Developer
"Knowledge of and experience in developing, theming, customizing and upgrading WordPress and other open source applications such as Joomla, Drupal; Work experience in a relevant field; Excellent knowledge of the English language; Knowledge of and experience in PHP interfacing with a relational database of MySQL; Knowledge of and experience with MVC frameworks is desirable; Ability to quickly troubleshoot and repair issues on websites; Experience with web development technologies/ production tools such as JavaScript Libraries and jQuery; Understanding of cross platform/ browser compatibility issues; Excellent communication and organizational skills; Experience with multiple breakpoint and responsive design techniques.",Web Developer,PHP Developer,Software Engineer
"Drawing skills; At least 3 years of experience in graphic design; Advanced level of knowledge in computer design software; Working level of Armenian, Russian and English languages; Strong interest in graphics and illustration; visual sense and originality; Attention to details; Excellent team-working skills.",Graphic Designer,Software Engineer,Software Developer
"Expert knowledge of PHP, Database (MySQL), HTML, DHTML, Java Script Some knowledge of Macromedia Flash including Active Script Hands-on experience with web-design tools such as Dreamweaver, Home Site Experience with Photoshop, ImageReady is an advantage Must be self-directed and have a track record of meeting project deadlines  At least 2 years experience in web programming",Web Developer,Java Developer,PHP Developer
"Higher education; Minimum 2 year work experience; Excellent communication and interpersonal skills; Flexibility and effective decision making in fast paced environment;  Knowledge of MS Word, Excel and Access; Ability to work with DBF files, MS SQL Server, ASP programming, Windows 2000-2003 Server; Willingness to study; Knowledge of Armenian and Russian languages; Knowledge of technical English.",Programmer,Software Developer,Web Developer
"At least 3 years of work experience as a Software Developer; At least 2 years of work experience with databases (Oracle/ MS SQL Server); Good knowledge of OOP; Good knowledge of C++ and SQL languages; Basic knowledge of web technologies; Problem solving skills; Knowledge of Armenian and Russian languages. Desired Qualifications: Knowledge of PL/SQL language;  Knowledge of banking system or accounting;  Knowledge of PHP, JSP and web services;  Knowledge of (X)HTML, CSS, JavaScript and XML; Knowledge of English language.",Database Admin/Dev,Software Developer,Web Developer
"BS in Computer Science or any related technical field; At least 4 years of work experience as a Senior .NET Developer; Good knowledge of OOP; Strong C#, ASP.NET background; Experience with ORMs (NHibernate/ Entity Framework 4); Experience with Web Services and WCF; Broad knowledge of ASP.NET architecture and development, as well as strong knowledge of using SOAP and REST; Good knowledge of HTML, JavaScript, AJAX, XML and JQuery;  Knowledge of MS SQL server, developing queries and stored procedures; Ability to work independently and in a team setting; Familiarity with software development process; Good knowledge of Russian and English languages is an asset; Desire and ability to work with a wide range of web application technologies and tools.",.NET Developer,Web Developer,Software Developer
"At least 2 years of web application development experience in .NET platform; Experience in WPF, WCF technologies and principals; Experience in ASP.NET; Experience in Web services; Excellent knowledge of (X)HTML, CSS, JavaScript (AJAX, jQuery) is a plus; Work experience with Microsoft SQL server 2008/ 2012; Problem solving skills; Good communication skills; Good team player, ability to accept criticism.",.NET Developer,Web Developer,PHP Developer
"BS/MS in CS/EE; 5+ years of experience in software development; Good communication skills; Self-motivation; Experience in designing and developing software products; Ability to lead the project development; previous experience of working on critical projects; Formal training or test certification is a plus; Strong C++/ STL programming skills, experience in widely accepted methodologies such as OOP, OOD, etc.; User knowledge of Linux, MS Windows is desirable; Strong knowledge of data structures and algorithms, their complexities; Mathematical background with an understanding of Computational Geometry, Graph Theory, Optimization Problems; Design/implementation specification writing skills; Knowledge and experience in Physical Design Automation, or related domains is preferred; Experience in designing EDA databases, solving tasks related to fast data access, storing and processing; Experience in working with cross-functional product development teams is preferred; Knowledge of technical English (both verbal and written); It is preferred that the candidates for the Senior Software Engineer position fulfilled military obligation or educational waivers of military obligation.",Software Engineer,Software Developer,Java Developer
"At least 3 years of Java programming experience; Extensive knowledge of Web Front End technologies: Apache Wicket, Struts 2, JSF; Extensive knowledge of MySQL, Hibernate; Experience with backend development/ individual application development; Experience with MQ, JMS; Experience with JasperReports and POI library; Good knowledge of English language; Ability to manage time, work load, project progress without supervision.",Java Developer,Software Developer,Web Developer
"BS in CS/EE with at least 2 years of experience in software development; Familiar with programming and software development cycle; Ability to design algorithms and data structures; Knowledge of C/C++ together with STL library; Knowledge of Linux and scripting languages (PERL, TCL) is a plus; Good English language skills in writing, reading, listening comprehension and oral communication.",Software Engineer,Software Developer,Web Developer
"University degree in the appropriate field of studies; At least 1 year of practical experience; Good knowledge of PHP; Good knowledge of OOP principles; Good knowledge of DHTML; Experience working in Linux environment (Ubuntu, Suse) is preferable; Good analytical skills; Ability to work in a team; Good knowledge of English language (both communication and technical level).",PHP Developer,Web Developer,Software Developer
"BS in Computer Science or any related Technical field; At least 6 years of experience in object-oriented design and development in Java; At least 6 years of experience in JEE Application Server; WebSphere and/ or JBOSS experience is preferred; At least 6 years of experience in JEE technologies and framework (Spring, JSF2 preferable) Hibernate, Websphere Application; Server (WAS), JMS/ Websphere MQ, Oracle AQ, Oracle 11g and support integration with other applications via APIs(SOAP/ REST); Experience in SOA, SOAP, REST WSDL, XML, cloud and API standards; At least 6 years of experience in design and development of high performance messaging and transaction processing systems; Strong knowledge of architectural principles, frameworks and best practices; Technical leadership and mentoring skills to guide and act as Lead Developer; Good knowledge or Russian and English languages is an asset.",Java Developer,Software Engineer,Software Developer
"Higher education; Excellent knowledge of VB;  Good knowledge of Java Script;  Experience of management of My SQL and MS SQL databases; Good knowledge of AS3x, AS4x; COM technologies; WEB technologies; NET technologies; Good knowledge of MS Windows XP/2003SF platform; Ability to responsibly complete assigned tasks according to deadlines; Analytical thinking; Sense of responsibility and accuracy; Flexible and teamwork ability;  Fluency in Armenian and Russian languages; knowledge of technical and spoken English; At least two years of relevant work experience. Ethics: Unquestioned principles and behavior. Collaborative and responsible work habits.",Senior Web Developer,Software Developer,Java Developer
"BS in CS/ EE with at least 1 years of work experience in software development; Familiarity with programming and software development cycle; Ability to design algorithms and data structures; Excellent knowledge of C/ C++ together with STL library; Good knowledge of Qt; TCL knowledge is a plus; Excellent knowledge of Linux; Good English language skills in writing, reading, listening; Comprehension and oral communication.",Software Engineer,Software Developer,Senior Web Developer
"MS in CS/ Physics/ Maths or a related field; Professional C/ C++ programming skills and good knowledge of OOP/ OOD; High-level of knowledge and experience in multithreading programming;  Strong debugging and troubleshooting experience; Clear understanding of software development lifecycles and methodologies; Good knowledge of and experience in HTML/ XML; Experience in Stingray Studio is plus; Experience in development under Linux/ Unix OS and Qt is plus; Experience in real time development, knowledge of networking protocols such as TCP/ IP, UDP, etc. is plus; Good written and verbal communication skills in English language.",Software Engineer,Software Developer,Web Developer
"Higher education in the associated field is preferable; At least 3 years of work experience as a Graphic Designer; Knowledge of Adobe Photoshop, Adobe Illustrator and Corel Draw; Knowledge of Armenian, English and Russian languages; Ability to work in a team.",Graphic Designer,Web Developer,Software Developer
"B.S in software engineering Minimum 2 years programming experience  Windows and Unix operating systems MS SQL Server, Oracle databases Visual Studio.Net ( Visual C++ and Visual Basic ) Knowledge of English language Preferred Qualification:          POS programming experience Smart cards programming experience  Knowledge of EMV",Programmer,Software Developer,Software Engineer
"Degree in Computer Science, Information Technology or related discipline; Bachelor's degree in the relevant field (Masters degree preferred); A proven history of producing quality software product in a commercial setting with experience in all aspects of the software development process, including design, implementation, testing and delivery; Experience in a dynamic workplace with solid software developing practice; Good knowledge of Object Oriented programming; At least 5 years of professional experience in software development; Strong Java programming skills; At least 3 years of work experience in J2EE development, (JSP, Java Server Faces, and Spring framework); At least 3 years of practical knowledge/ programming of client-side Java Script/HTML/XML; Previous experience with database systems under one of the following platforms: MS SQL, MySQL, and ORACLE; Full understanding of the development lifecycle. ADDITIONAL CHARACTERISTICS: Ability to work under pressure and in multi-task environment;  Ability to work in a team while being self-directed and highly motivated;   Excellent analytical and problem-solving skills and attention to detail; Ability to communicate, read and understand technical documentation in English language.",Java Developer,Software Developer,Software Engineer
"Two years of experience in Java web programming and database management; Excellent command of English language; Knowledge of Economics and Finance is a plus; Team player, quality-minded and hard worker; Ability to produce high quality code; Ability to respect deadlines; Capability of excellent communication with other (remote) team members.",Java Developer,Software Developer,Web Developer
"University degree in appropriate field; Work experience in a software company for at least 3 years; Strong knowledge of programming techniques and software development process; Experience with Java, C++; Proven ability to work under pressure especially in distributed development environment.",Software Engineer,Software Developer,Java Developer
"BS in Design or Computer Science; Experience in computer design tools; Good knowledge of Corel Draw, Photoshop; Knowledge of 3d Graphics is desired; Willingness to work in a team.",Graphic Designer,Software Engineer,Software Developer
"Bachelor's degree in Computer Sciences; Master's degree is a plus; At least 2 years of relevant work experience; Fluency in English language; Excellent communication, interpersonal, problem solving and relationship management skills; Ability to explain clearly the problems to the development team(s); Ability to work under pressure on multiple tasks and within tight deadlines.",IT Specialist,Java Developer,Software QA Engineer
BS in CS/EE with at least 4 years of work experience in software development; Familiarity with programming and software development cycle; Ability to design algorithms and data structures; Excellent knowledge of C/C++ together with STL library; Good knowledge of Qt; Tcl knowledge is a plus; Excellent knowledge of Linux; Good English language skills; Ability to work in a team.,Senior Web Developer,Software Engineer,Software Developer
"University degree in Technical sphere, Computer Sciences, Mathematics or a related discipline; Good MS Office knowledge; Knowledge of technical English and Russian languages, good knowledge of Armenian grammar; Communication and organizational skills; Knowledge of programming theory; Experience or knowledge with web development technologies/ production tools such as JavaScript Libraries, PHP is a plus; Knowledge of PHP interfacing with a relational database MySQL is plus.",Programmer,Web Developer,PHP Developer
"Mandatory knowledge of HTML, ColdFusion, JavaScript, SQL and general database; Some knowledge of Perl, XML, SOAP/ Web Services, GIS/ Spatial Databases/ PostGIS; Knowledge of Java (applet development) will be helpful; Knowledge of Windows development (in any language, preferably on the .NET platform) will be helpful.",Software Developer,Web Developer,Java Developer
University degree; A few years of experience is preferred; Good knowledge of C++ and C#; Good German and English languages knowledge is preferred.,Software Developer,Software Engineer,Web Developer
"At least 2 years of experience in website design; Advanced working knowledge in PHP, MySQL, HTML/DHTML, XML, CSS and JavaScript; Knowledge of AJAX, Smarty, work experience with (Content Management Systems) is a plus; Knowledge of technical English language; Good communication skills; Good team player; Fast learner, curious, responsible personality.",Web Developer,PHP Developer,Java Developer
"At least 3 years of work experience as a Software Developer; At least 2 years of work experience with databases (Oracle or MS SQL Server); Good knowledge of OOP; Good knowledge of C++ and SQL languages; Basic knowledge of web technologies; Problem solving skills; Knowledge of Armenian and Russian languages. Desired Qualifications: Knowledge of PL/SQL language;  Knowledge of banking system or accounting;  Knowledge of PHP and web services;  Knowledge of (X)HTML, CSS, JavaScript and XML; Knowledge of English language.",Software Developer,Web Developer,Database Admin/Dev
"Computer Science graduate or equivalent degree; 5+ years of work experience; Proficiency in object oriented programming; Working knowledge of Java and C#; Working knowledge of XML, HTML, CSS, JavaScript, AJAX and related technologies; Knowledge of RIA technologies, especially YUI and JQuery is a plus; Strong understanding of multi-threading and networking concepts; Strong understanding of relational database concepts; Knowledge of Hibernate ORM framework is a plus; Strong reasoning and critical thinking; Knowledge and experience in logic and discrete math; Enthusiastic and self-motivated personality; Good team player.",Senior Web Developer,Java Developer,Web Developer
2+ years of experience in Photoshop; 1+ years of experience in 3DMAX; High Art School diploma.,Graphic Designer,Software Developer,Software Engineer
"University degree in Computer Science or other relevant field; Profound knowledge of Microsoft Windows and Linux and software security; 3-4 years of relevant experience; Fluency in English, Armenian, and Russian languages.",Software Engineer,IT Specialist,Software Developer
"University degree in Computer Sciences or a relevant; Knowledge of ASP, VBScript, SQL and MS SQL server; Knowledge of PHP, HTML, JavaScript and CSS; Knowledge of Apache module and Linux environments; Experience in high load systems; Good knowledge of both written and spoken English language; Pro-active and calm personality; Analytically strong and excellent organizational skills; Have a strong understanding of the existing systems.",Software Developer,Web Developer,PHP Developer
"University degree in the appropriate field of studies; At least 2 years of practical experience in Java development; Knowledge of databases (MySQL, MSSQL, Oracle, Cassandra, HBase); Good knowledge of OOP principles; Knowledge of Node.js is an advantage; Experience in using Eclipse IDE is preferable; Experience with working in Linux environment (Ubuntu, and Suse); Good analytical skills; Ability to work in a team; Good knowledge of English language, both on communication and technical levels.",Java Developer,PHP Developer,Web Developer
"Strong knowledge of C# and principles of .NET platform; At least 2 years of experience with data access technologies (ADO.NET, LINQ to Entities); At least 2 years of experience in using web service technologies (WCF, REST, JSON); Experience in ASP.NET, MVC is a big plus; Some work experience in database and backend developer roles; Work experience in backend developer role will be a plus; Working with Microsoft SQL server 2008/ 2012 and/ or Sybase will be a plus; Writing and speaking skills in the English language.",.NET Developer,Web Developer,Software Developer
Higher education in the IT or relevant field; At least 3 years of work experience in a relevant sphere; Apple and windows workstation administration skills; Excellent knowledge of Russian and English languages; Knowledge in networking is a plus; Knowledge in server support is a plus; Ability to quickly learn new products; Experience in working with Office 365 or Google apps is appreciated; Strong analytic and problem solving skills.,IT Specialist,Software Developer,Software Engineer
"B.S. in Computing Science; At least 2 years of work experience in PHP5, MySQL, JavaScript; Strong understanding of OOP and Design Patterns; Experience with HTML(5) and CSS; Experience with Agile development methodologies; Mastery of technical English language; Good communication skills; Good team player; Ability to work in a fast-paced dynamic environment, be flexible and adapt to changing requirements and customer requests.",PHP Developer,Web Developer,Java Developer
"Relevant university degree; Knowledge of Windows operating systems; Advanced knowledge of general office applications (MS office, Acrobat); Knowledge of Armenian, English and Russian languages; Good communication skills.",IT Specialist,Software Developer,Database Admin/Dev
"Excellent knowledge of JAVA, PHP, MySQL's SQL, JavaScript, DOM-API, XML; Work experience with Apache Web server, Unix/FreeBSD/Linux; Experience in UI design and front-end development will be an advantage; Source management with CVS will be an advantage; Work experience with Eclipse development environment will be an advantage; Willingness to learn new programming languages and technologies; Good knowledge of technical English language; Punctuality and accuracy in work, ability to work efficiently with minimal supervision; Motivated, energetic personality, flexible, willingness to increase competencies and professionalism; Creativity and team spirit.",Software Developer,Web Developer,Java Developer
"Higher/not completed higher education; Good knowledge of .Net technology, relationship database architecture, SQL database, C#; Knowledge of Delphi 6, 7 is preferred; Knowledge of English language; Work experience is preferred.",Software Developer,Software Engineer,Programmer
"In-depth development experience at the application and user interface level with Cocoa; experience with C and Java is preferred; Experience with Objective-C; Strong object-oriented programming and design skills; Experience with MacOS X framework; Experience with CPU/ memory profiling; Experience with Asynchronous programming; experience with Networking protocols; Excellent problem-solving, critical-thinking and communication skills; Ability and desire to acquire new skills and take on new tasks; Familiarity with source control systems (Subversion, CVS); Excellent knowledge of English language; Knowledge of Android App development is a huge plus.",iOS Developer,Software Engineer,Software Developer
"University degree in Computer Sciences or a related field; 3-5 years of work experience in database design, development and optimization technology; Excellent knowledge of OOP, T-SQL, PL-SQL, C#, ASP.NET; Good knowledge of Armenian and Russian languages, knowledge of technical English language; Problem-solving and decision-making skills; Good time management and organizational skills; Knowledge of accounting is a plus.",Senior Web Developer,Software Developer,Web Developer
Bachelor's degree in Computer Science or closely related discipline and relevant experience; Windows C++ and GUI development experience is highly desired; Mac OS X knowledge would be a key advantage; UML knowledge is a plus; Familiarity with image processing and graphics software packages is desired (Adobe Photoshop is strongly recommended); Interest in image processing and photography is highly desirable; Excellence in both self-management and as a team player.,Software Developer,Graphic Designer,Software Engineer
"Higher education in related field; Proficiency in Visual Basic, Borland Delphi, SQL Server systems.",Software Engineer,Programmer,Software Developer
"Bachelor's/Master's degree in CS or related discipline; Mathematical background is desired; 3+ years of professional software development experience; Analytical, technical and interpersonal skills; Ability to work on multiple projects at the same time; Experience in system and application programming for Windows and/or UNIX/Linux;  Experience in developing multithreaded, distributed and/or client-server applications with POSIX sockets is desired; Excellent knowledge of C and C++ languages as well as their ANSI/ISO standards;  Knowledge of C#, Perl and UNIX shell scripts; Knowledge of English and Russian languages on communication level.",Software Developer,Software Engineer,Web Developer
"Must have Bachelors degree or higher Must have experience in XML, XSL, HTML, DHTML, Photoshop, Corel,Flash, JavaScript, CSS, SQL, PHP/My SQL, Perl, Macromedia Dreamweaver Must have Experience in Apache 1.3 or higher Must have experience in unix/linux system administration Ability to troubleshoot problems and research service enhancements. Must have excellent communications, problem solving/ trouble shooting Must be a self starter, takes initiative, highly motivated Quick to learn new technologies Ability to read technical documentation on English Ability to write administrative reports on English",Web Developer,Java Developer,PHP Developer
"Strong knowledge of PHP, MySQL; 2 years of software development experience in PHP; BS/ MS degree in Computer Science, Engineering or a related subject; Demonstrable knowledge of web technologies: HTML, CSS, JavaScript; Experience with subversion, GIT or other source control tools; Experience with Apache web server; Knowledge in typography, whitespace, and other details that occur at the intersection of design and code; Knowledge of OOP and Design Patterns. Desired skills: Experience with end-to-end product testing; Ability to work independently and as a part of the team; Passion for best design and coding practices and desire to develop new bold ideas; Passionate, energetic, collaborative and positive approach to achieving company growth objectives; Responsible and disciplined personality; Result-oriented and initiative personality; Knowledge of PHP frameworks; Experience with Linux; Excellent knowledge of English language.",PHP Developer,Web Developer,Java Developer
"Corresponding higher education; Good knowledge of Adobe Photoshop, Adobe Illustrator; Creative thinking; Knowledge of Armenian, English and Russian languages.",Graphic Designer,Programmer,Web Developer
"At least 3 years of experience in developing applications in C#, ASP .NET and SQL Server; Experience in coding of T-SQL statements, stored procedures, triggers and functions; Understanding of the mobile-responsive application development; Knowledge of jQuery and JavaScript is a big plus; Demonstrated ability to evaluate user needs or specifications and translate them into a logical and practical set of software components; Ability to own your assignments, formulate your own questions and work with team members to get the answers you need in order to complete assignments; Excellent analytical and problem-solving skills.",.NET Developer,Software Developer,Software Engineer
"At least 5 years of software development experience of PHP; Bachelor's/ Master's degree in Computer Science, Engineering or a related field; Full proficiency in PHP (Functions, Scopes, Code organization, stages of code processing, optimization of processes); Strong knowledge of OOP and Design Patterns; Strong knowledge of sessions/ Cookies; Strong knowledge of caching mechanisms (Memcached, APC); Strong knowledge of mailing (protocols: IMAP, POP3); ability to send mail via PHP and external services; Experience with PHP Multibyte string manipulations; Knowledge of PHP frameworks; Strong knowledge of MySQL; Strong knowledge of database Design principles, normalization/ denormalization; Strong knowledge of MySQL data types, indices (types of indices), query execution stages (How queries are executed); Experience with Query optimization; Strong knowledge of HTML, CSS and JavaScript; Experience with JIRA or other issue/ task tracking systems; Experience with GIT; Experience with Stash, Github or BitBucket; Knowledge of Agile/ Scrum/ Kanban or other similar project management methodologies; Experience with Linux; Experience with installing and managing Apache, configuring virtual hosts and htaccess files; Experience with managing DNS; Good knowledge of the English language.",PHP Developer,Web Developer,Java Developer
"MS+ in CS/ Physics/ Math or in a related field; PhD is preferred; At least 5 years of experience in designing and developing software products; Strong C++/ STL programming skills and good knowledge of OOD; Familiarity with design patterns; Knowledge of Linux; Ability to lead the project development; Previous experience of working on critical projects; Experience in software project management; Strong knowledge of data structures and algorithms and their complexities; Familiarity with Computational Geometry, Graph Theory, Optimization, Problems, Numerical Methods and Modeling; Ability to write comprehensive functional/ implementation specifications; Previous experience in designing efficient algorithms for IC layout processing is highly desired; Knowledge and experience in Physical Design Automation or related domains is preferred; Excellent communication skills; ability to effectively interact with cross-functional teams (R&D, Application, Marketing); Excellent knowledge of English both verbal and written; Fast learning skills; Formal training or test certification is a plus; Other achievements like participation/ winning in math and programming in olympiads/ competitions is a big plus; Availability of educational waivers of military obligation.",Software Engineer,Software Developer,Java Developer
"Bachelor's degree in Computer Sciences or a related field; higher degree is a plus; At least 3 years of work experience with the following technologies: HTML/ CSS, JavaScript, AJAX, PHP, Yii and other frameworks; Experience in object oriented programming/ modular programming;  Knowledge of SQL/ MySQL and database design/ modeling; Understanding of browser specific compatibility issues; Knowledge of Apache server configuration/ administration is a plus; Knowledge of Linux command line is a plus; Knowledge of HTML, CSS, AJAX and JavaScript frameworks; Ability to work both as an individual and as part of a team;  Good written skills in English and Russian languages; Ability to learn quickly.",PHP Developer,Web Developer,Java Developer
University degree in Computer Sciences; At least 3 years of professional work experience in the related field; Teamwork skills; Good communication skills; Knowledge of Russian and English languages is preferable; Ability to work under pressure.,IT Specialist,Software Developer,PHP Developer
"BS in Computer Science or any related Technical field; At least 4 years of work experience as a Senior .NET Developer; Good knowledge of OOP; Strong C#, ASP.NET background; Experience with ORMs (NHibernate/ Entity Framework 4); Established experienced with C# development using technologies including C#, .NET 4.0, Web Services, and WCF; Abroad knowledge of ASP.NET architecture and development as well as a strong knowledge of using SOAP and REST; Good knowledge of HTML, JavaScript, AJAX, XML and JQuery;  Knowledge of MS SQL server, developing queries and stored procedures; Ability to work independently and in a team setting; Familiarity with software development process; Good knowledge of Russian and English languages is an asset; Desire and ability to work with a wide range of web application technologies and tools.",.NET Developer,Software Developer,Web Developer
"At least 5 years of work experience as Software Developer; Excellent knowledge in Java and OOP; Excellent knowledge in Web development; Web Frameworks: Struts, JSP/Servlet, Java Server Faces; Persistence Layer: OJB, IBATIS, Hibernate; Integration Technologies: Spring Framework; Databases: base knowledge with MySQL and Oracle databases; Excellent knowledge in SQL language (writing queries, creating databases, dumping, importing without a graphical user interface); Database modeling skills; Good knowledge in (X)HTML, CSS, JavaScript, XML; Optional technologies: Velocity, Jasper Reports, Facelets; Build Environment: Ant, Maven, Eclipse; Servers: Tomcat, Apache2 Webserver; OS: Linux Ubuntu; High skills with Linux Operating System: system administration, writing Shell scripts etc.; Experience in iPhone applications development is a plus; Ability to work on project with a development team; Ability to lead a small development team is a plus; Ability/willingness to work from Germany for about 6 months is a plus; Problem solving skills; Good communication skills; Good English language skills.",Java Developer,Software Engineer,PHP Developer
"Bachelors or higher degree in Computer Sciences or a related discipline with at least 2 years of work experience in software development; 2 years of work experience in .Net Framework ASP.Net/C#; Knowledge of other languages (C++, VB, Java) and web technologies is a plus; Good knowledge of Oracle, Sybase, MS SQL Server or DB2; Work experience with client/ server applications; Good English language skills.",Web Developer,Software Developer,Java Developer
"At least 4 years of work experience in Web application development based on .Net framework; Strong knowledge of C#, VB.Net, SQL, NET 2.0; Strong knowledge of ASP.Net, Style Sheets, HTML, JavaScript; Good knowledge of XML, XSLT, ASP; Good knowledge of Visual Studio 2005 and MS SQL Server 2005;  Ability to evaluate algorithms and technical solutions; Ability to work under pressure; Good knowledge of English language.",Software Engineer,Software Developer,Web Developer
"Higher education in the relevant field; At least 3 years of work experience in the related field; Knowledge of English and Russian languages; Proficient knowledge of design programs such as Adobe CS: InDesign, Illustrator, Photoshop, Corel Draw; Strong sense of ownership; Ability to handle multiple projects at once; Excellent communication and organization skills; Ability to respond to issues and meet deadlines; Ability to work in a team; Ability to work under pressure and manage stressful situations; Positive image and tidy appearance; Attention to detail and ability to accept direction; Flexibility.",Graphic Designer,Software Developer,Web Developer
"University degree in the appropriate field of studies; At least 2 years of practical experience; Good knowledge of PHP; Good knowledge of OOP principles; Good knowledge of DHTML (JavaScript, CSS2, CSS3, HTML4 and HTML5); Good knowledge of other programming languages such as Ruby and Python; Experience in developing pages for iOS is a big plus; Experience with working on Photoshop or Corel Draw is a big plus; Experience with working in Linux environment (Ubuntu and Suse) is preferable; Good analytical skills; Ability to work in a team; Excellent knowledge of English language, both communication and technical level.",PHP Developer,Web Developer,Software Developer
Higher education: B.S. in Computing Science or any related technical field; Knowledge of .Net Framework (C#); Knowledge of MS SQL Server 2008 (T-SQL); Understanding of ASP.NET; Understanding of OOP/ OOD; Fluency in the Armenian language; good knowledge of Russian and English languages.,.NET Developer,Software Developer,Database Admin/Dev
"Experience working with CMS like Wordpress, Drupal, ExpressionEngine; Experience working with PHP/ OOP Frameworks like Laravel, Codeigniter, Zend, Yii; Experience with front-end development such as Bootstrap; Knowledge of JavaScript/ jQuerry/ AJAX, AnjularJs, HTML5/ CSS3; Good knowledge of the English language (written and oral); Ability to learn new programming languages quickly; Good communication skills; Ability to work in team.",Web Developer,PHP Developer,Software Engineer
"BS or MS/ ME  in Computer Science or similar major and at least 3 years of work experience;  Strong knowledge of C/ C++ and QT; Familiarity with relational database and DB API; Debug and test under Linux and ensure high level of software quality; Resolve a wide range of issues in an optimal way; Knowledge and experience of Object Oriented Programming; Good knowledge of spoken and written English language. Technical skills: RDBMS technologiesworking knowledge of databases application; Strong software debug skill; Some knowledge of Tcl, Perl, Ruby and PHP would be a plus; Familiarity with Linux/ UNIX system is preferred.",Software Engineer,Software Developer,Software QA Engineer
"BS in Computer Sciences or a related field; MS is a plus; At least 2 years of experience as Senior QA Engineer role with solid progression in responsibility; Experience with testing high performance systems is a plus; Knowledge of both Windows and UNIX environments, scripting skills (including Perl, bat and shell); Knowledge of Java; Advanced knowledge of system development lifecycle, methodology and testing knowledge; Solid knowledge of the quality assurance techniques, testing concepts, methodologies and tools; Excellent analytical skills with the ability to investigate and research multiple sources; Excellent interpersonal and oral/ written communications skills; Expert ability to apply concepts of unit, system, regression, product, integration and acceptance testing; Testing Tools: Broad experience using different testing tools (jmeter, selenium, etc.); Ability to adapt and learn quickly with any other testing tool; Good understanding of automation testing approaches.",Software QA Engineer,Software Engineer,Java Developer
"Strong knowledge of OOA/OOD; Good understanding of UML diagrams; Strong Core Java programming skills; Strong knowledge of Java server side web technologies (Servlets/ JSP); Knowledge of .NET technologies; Experience in development of Java based standalone applications, web-based systems, web services; Experience in development of client-side applications  JavaScript, Ajax, HTML, CSS; Experience in complex database systems MySQL, MS SQL, ORACLE; Experience in development of systems based on RDBMS is desirable; Ability to solve development problems; Experience in a relevant field; Masters degree holder; Fluency in Technical English; Ability to work in a team while being self-directed and highly motivated; Excellent analytical and problem-solving skills and attention to details; High level of responsibility; Co-ordinate diverse and simultaneous activities by using effective planning, organization and time management skills; Ensure quality and competitiveness; Ability to work in an autonomous environment; Understanding how products are delivered to customers through electronic media; Self motivated, and ability to work independently and very thorough; Creativity and imagination; Ability to manage time effectively, work under pressure and in multi-task environment; Technically proficient, ability to grasp new concepts quickly; Good reading and written communications skills and demonstrated ability to collaborate effectively with developers and non-developers; Strong interpersonal and organizational skills and ability to deal effectively in a team environment; Ability to analyze complex problems, interpret operational needs, develop integrated, creative solutions; Display professionalism and have well-developed interpersonal skills.",Senior Web Developer,Java Developer,Web Developer
"At least 2 years of work experience as a Software Developer; At least 1 year of work experience with databases (Oracle or MS SQL Server); Good knowledge of OOP; Good knowledge of C++ and SQL languages; Basic knowledge of web technologies; Problem solving skills; Knowledge of Armenian and Russian languages. Desired Qualifications: Knowledge of PL/SQL language;  Knowledge of banking system or accounting;  Knowledge of PHP,JSP and web services;  Knowledge of (X)HTML, CSS, JavaScript and XML; Knowledge of English language.",Software Developer,Web Developer,Java Developer
"Knowledge of C++, Java Script, Max scripting, C#, ASP; Skills and experience in this field; Ability to work in a team.",Software Developer,Web Developer,Software Engineer
"Bachelor's or Master's degree in Computer Science; 3+ year experience in Java Development; Working knowledge and experience with Struts 2, Spring, Tapestry, Grails, Rails, Groovy, JSF 2, Seam, Jboss and Web Services; Fluent in English language (both writing and speaking); Ability to travel abroad if required.",Java Developer,Web Developer,Software Engineer
"Two years of solid object-oriented development experience in PHP;  Java preferred, (must explain code); Web based front-ends HTML, CSS, JavaScript; Back-end databases oracle, mssql, mysql; OS Unix/Linux/Windows; Basic English language knowledge (reading/writing).",Programmer,Web Developer,Java Developer
"Academic Art background; Work experience in the relevant field; Knowledge of computer programs (Corel Draw, 3D Max, Photoshop, Adobe Illustrator, InDesign, Esco, etc.); Good knowledge of English and Russian languages will be plus; Creative person; Willingness to work in a very dynamic environment; Availability of a portfolio; Time management skills; Ability to work to tight deadlines.",Graphic Designer,Web Developer,Java Developer
"At least 2 years of work experience in the field of Web development is preferable; Knowledge of PHP, MySQL, HTML, CSS, AJAX, JavaScript, Smarty and jQuery; Knowledge of OOP techniques; Good knowledge of Armenian language and basic knowledge of English.",Web Developer,PHP Developer,Java Developer
